,sample,nib,nn_avg,VV,NV,VN,segment,NN
2,583,1,128.00877192982455,290.0,83.0,207.0,0,145.0
4,885,1,128.00877192982455,302.0,83.0,219.0,0,151.0
6,1191,1,128.00877192982455,306.0,84.0,222.0,0,153.0
8,1496,1,128.00877192982455,305.0,83.0,222.0,0,152.5
10,1795,1,128.00877192982455,299.0,83.0,216.0,0,149.5
12,2085,1,128.00877192982455,290.0,83.0,207.0,0,145.0
14,2373,1,128.00877192982455,288.0,84.0,204.0,0,144.0
16,2655,1,128.00877192982455,282.0,84.0,198.0,0,141.0
18,2936,1,128.00877192982455,281.0,86.0,195.0,0,140.5
20,3206,1,128.00877192982455,270.0,84.0,186.0,0,135.0
22,3475,1,128.00877192982455,269.0,86.0,183.0,0,134.5
24,3740,1,128.00877192982455,265.0,88.0,177.0,0,132.5
26,4000,1,128.00877192982455,260.0,88.0,172.0,0,130.0
28,4260,1,128.00877192982455,260.0,88.0,172.0,0,130.0
30,4512,1,128.00877192982455,252.0,90.0,162.0,0,126.0
32,4759,1,128.00877192982455,247.0,92.0,155.0,0,123.5
34,5001,1,128.00877192982455,242.0,95.0,147.0,0,121.0
36,5246,1,128.00877192982455,245.0,104.0,141.0,0,122.5
44,6185,1,128.00877192982455,252.0,98.0,154.0,0,126.0
46,6427,1,128.00877192982455,242.0,90.0,152.0,0,121.0
48,6680,1,128.00877192982455,253.0,84.0,169.0,0,126.5
50,6941,1,128.00877192982455,261.0,81.0,180.0,0,130.5
52,7206,1,128.00877192982455,265.0,80.0,185.0,0,132.5
54,7474,1,128.00877192982455,268.0,82.0,186.0,0,134.0
56,7739,1,128.00877192982455,265.0,82.0,183.0,0,132.5
58,8005,1,128.00877192982455,266.0,83.0,183.0,0,133.0
60,8268,1,128.00877192982455,263.0,84.0,179.0,0,131.5
62,8529,1,128.00877192982455,261.0,84.0,177.0,0,130.5
64,8789,1,128.00877192982455,260.0,84.0,176.0,0,130.0
66,9046,1,128.00877192982455,257.0,83.0,174.0,0,128.5
68,9301,1,128.00877192982455,255.0,82.0,173.0,0,127.5
70,9556,1,128.00877192982455,255.0,82.0,173.0,0,127.5
72,9808,1,128.00877192982455,252.0,83.0,169.0,0,126.0
74,10058,1,128.00877192982455,250.0,83.0,167.0,0,125.0
76,10306,1,128.00877192982455,248.0,84.0,164.0,0,124.0
78,10553,1,128.00877192982455,247.0,84.0,163.0,0,123.5
80,10797,1,128.00877192982455,244.0,84.0,160.0,0,122.0
82,11042,1,128.00877192982455,245.0,86.0,159.0,0,122.5
84,11285,1,128.00877192982455,243.0,86.0,157.0,0,121.5
86,11528,1,128.00877192982455,243.0,87.0,156.0,0,121.5
88,11769,1,128.00877192982455,241.0,86.0,155.0,0,120.5
90,12011,1,128.00877192982455,242.0,87.0,155.0,0,121.0
92,12252,1,128.00877192982455,241.0,87.0,154.0,0,120.5
94,12494,1,128.00877192982455,242.0,87.0,155.0,0,121.0
96,12733,1,128.00877192982455,239.0,88.0,151.0,0,119.5
98,12971,1,128.00877192982455,238.0,88.0,150.0,0,119.0
100,13209,1,128.00877192982455,238.0,88.0,150.0,0,119.0
102,13449,1,128.00877192982455,240.0,89.0,151.0,0,120.0
104,13689,1,128.00877192982455,240.0,88.0,152.0,0,120.0
106,13929,1,128.00877192982455,240.0,88.0,152.0,0,120.0
108,14167,1,128.00877192982455,238.0,86.0,152.0,0,119.0
110,14407,1,128.00877192982455,240.0,88.0,152.0,0,120.0
112,14646,1,128.00877192982455,239.0,87.0,152.0,0,119.5
114,14886,1,128.00877192982455,240.0,87.0,153.0,0,120.0
116,15125,1,117.14728682170542,239.0,86.0,153.0,0,119.5
118,15366,1,117.14728682170542,241.0,86.0,155.0,0,120.5
120,15607,1,117.14728682170542,241.0,86.0,155.0,0,120.5
122,15847,1,117.14728682170542,240.0,86.0,154.0,0,120.0
124,16086,1,117.14728682170542,239.0,85.0,154.0,0,119.5
126,16324,1,117.14728682170542,238.0,86.0,152.0,0,119.0
128,16561,1,117.14728682170542,237.0,85.0,152.0,0,118.5
130,16798,1,117.14728682170542,237.0,85.0,152.0,0,118.5
132,17034,1,117.14728682170542,236.0,85.0,151.0,0,118.0
134,17271,1,117.14728682170542,237.0,85.0,152.0,0,118.5
136,17507,1,117.14728682170542,236.0,83.0,153.0,0,118.0
