Sample	Type	RR(ms)
293	2	405	
500	0	1172	
583	2	438	
802	0	1238	
885	2	438	
1107	0	1255	
1191	2	444	
1413	0	1255	
1496	2	438	
1712	0	1222	
1795	2	438	
2002	0	1172	
2085	2	438	
2289	0	1155	
2373	2	444	
2571	0	1122	
2655	2	444	
2850	0	1105	
2936	2	455	
3122	0	1055	
3206	2	416	
3389	0	1066	
3475	2	455	
3652	0	1005	
3740	2	466	
3912	0	977	
4000	2	466	
4172	0	977	
4260	2	466	
4422	0	922	
4512	2	477	
4667	0	883	
4759	2	488	
4906	0	838	
5001	2	505	
5142	0	805	
5246	2	550	
5373	0	733	
5489	0	644	
5585	2	511	
5724	0	794	
5841	0	650	
5933	2	488	
6087	0	877	
6185	2	522	
6337	0	877	
6427	2	466	
6596	0	961	
6680	2	444	
6860	0	1022	
6941	2	427	
7126	0	1050	
7206	2	422	
7392	0	1055	
7474	2	433	
7657	0	1038	
7739	2	433	
7922	0	1038	
8005	2	427	
8184	0	1027	
8268	2	433	
8445	0	1027	
8529	2	422	
8705	0	1011	
8789	2	444	
8963	0	1000	
9046	2	427	
9219	0	994	
9301	2	422	
9474	0	983	
9556	2	433	
9725	0	972	
9808	2	427	
9975	0	950	
10058	2	427	
10222	0	944	
10306	2	433	
10469	0	938	
10553	2	444	
10713	0	911	
10797	2	444	
10956	0	916	
11042	2	433	
11199	0	916	
11285	2	433	
11441	0	911	
11528	2	438	
11683	0	905	
11769	2	433	
11924	0	905	
12011	2	438	
12165	0	900	
12252	2	438	
12407	0	905	
12494	2	438	
12645	0	883	
12733	2	444	
12883	0	877	
12971	2	444	
13121	0	877	
13209	2	444	
13360	0	883	
13449	2	450	
13601	0	888	
13689	2	444	
13841	0	888	
13929	2	450	
14081	0	883	
14167	2	427	
14319	0	894	
14407	2	450	
14559	0	883	
14646	2	444	
14799	0	888	
14886	2	438	
15039	0	894	
15125	2	433	
15280	0	905	
15366	2	433	
15521	0	905	
15607	2	433	
15761	0	900	
15847	2	433	
16001	0	900	
16086	2	427	
16238	0	888	
16324	2	433	
16476	0	888	
16561	2	427	
16713	0	888	
16798	2	433	
16949	0	877	
17034	2	427	
17186	0	888	
17271	2	427	
17424	0	894	
17507	2	400	
17665	0	938	
17748	2	416	
17905	0	916	
17987	2	416	
18145	0	916	
18227	2	416	
18384	0	911	
18466	2	416	
18620	0	894	
18702	2	416	
18853	0	877	
18937	2	427	
19084	0	855	
19169	2	433	
19316	0	855	
19400	2	422	
19546	0	850	
19631	2	433	
19776	0	850	
19861	2	427	
20006	0	850	
20091	2	427	
20233	0	827	
20319	2	438	
20461	0	833	
20546	2	427	
20688	0	833	
20773	2	427	
20914	0	827	
21000	2	433	
21141	0	827	
21227	2	433	
21370	0	838	
21455	2	427	
21599	0	844	
21683	2	422	
21829	0	855	
21912	2	422	
22061	0	866	
22143	2	416	
22296	0	888	
22377	2	416	
22534	0	905	
22615	2	411	
22772	0	911	
22852	2	405	
23011	0	922	
23091	2	405	
23248	0	911	
23328	2	405	
23485	0	911	
23564	2	400	
23720	0	905	
23800	2	405	
23953	0	888	
24034	2	411	
24189	0	900	
24270	2	411	
24424	0	894	
24506	2	416	
24664	0	916	
24745	2	411	
24904	0	922	
24985	2	411	
25147	0	938	
25226	2	405	
25389	0	938	
25469	2	405	
25630	0	933	
25710	2	405	
25872	0	938	
25951	2	400	
26110	0	922	
26191	2	411	
26349	0	916	
26429	2	405	
26586	0	911	
26666	2	405	
26821	0	900	
26902	2	411	
27053	0	877	
27135	2	416	
27283	0	861	
27365	2	416	
27510	0	844	
27593	2	422	
27735	0	827	
27818	2	422	
27960	0	827	
28043	2	422	
28183	0	816	
28267	2	427	
28407	0	816	
28490	2	422	
28632	0	827	
28715	2	422	
28858	0	827	
28941	2	427	
29086	0	844	
29167	2	411	
29314	0	855	
29395	2	411	
29543	0	861	
29623	2	405	
29770	0	855	
29851	2	411	
29998	0	855	
30078	2	411	
30226	0	850	
30307	2	416	
30454	0	855	
30535	2	416	
30683	0	855	
30763	2	405	
30911	0	861	
30992	2	411	
31141	0	866	
31221	2	405	
31371	0	872	
31451	2	405	
31600	0	866	
31679	2	400	
31831	0	883	
31910	2	405	
32061	0	872	
32140	2	400	
32292	0	883	
32371	2	400	
32524	0	888	
32603	2	405	
32755	0	877	
32833	2	400	
32985	0	877	
33063	2	400	
33212	0	861	
33292	2	411	
33441	0	861	
33520	2	405	
33666	0	844	
33746	2	411	
33895	0	861	
33975	2	411	
34123	0	855	
34203	2	411	
34352	0	861	
34432	2	411	
34581	0	861	
34661	2	411	
34809	0	855	
34889	2	411	
35041	0	877	
35120	2	405	
35272	0	877	
35352	2	411	
35503	0	872	
35582	2	405	
35734	0	877	
35813	2	405	
35962	0	861	
36042	2	411	
36189	0	850	
36269	2	411	
36415	0	844	
36495	2	411	
36637	0	822	
36718	2	416	
36859	0	816	
36939	2	411	
37077	0	800	
37159	2	422	
37294	0	783	
37375	2	416	
37511	0	788	
37593	2	422	
37728	0	783	
37808	2	411	
37948	0	811	
38028	2	411	
38171	0	827	
38250	2	405	
38393	0	827	
38471	2	400	
38618	0	844	
38695	2	400	
38840	0	838	
38917	2	394	
39062	0	838	
39139	2	394	
39283	0	833	
39361	2	400	
39501	0	811	
39578	2	394	
39717	0	805	
39796	2	405	
39932	0	788	
40011	2	405	
40150	0	805	
40228	2	400	
40366	0	800	
40445	2	405	
40583	0	800	
40661	2	400	
40803	0	822	
40881	2	400	
41027	0	844	
41104	2	394	
41253	0	861	
41329	2	388	
41478	0	861	
41555	2	394	
41707	0	877	
41783	2	388	
41938	0	894	
42014	2	388	
42169	0	894	
42245	2	388	
42399	0	888	
42475	2	388	
42628	0	883	
42703	2	383	
42855	0	877	
42930	2	383	
43080	0	866	
43155	2	383	
43302	0	850	
43378	2	388	
43522	0	833	
43599	2	377	
43740	0	833	
43815	2	383	
43952	0	794	
44030	2	400	
44164	0	777	
44241	2	394	
44376	0	783	
44454	2	405	
44587	0	766	
44664	2	394	
44799	0	783	
44876	2	400	
45012	0	783	
45087	2	383	
45228	0	816	
45304	2	394	
45446	0	816	
45521	2	383	
45668	0	850	
45742	2	383	
45892	0	861	
45968	2	388	
46120	0	877	
46194	2	377	
46350	0	900	
46424	2	383	
46583	0	911	
46656	2	372	
46816	0	922	
46890	2	377	
47052	0	933	
47127	2	383	
47286	0	916	
47362	2	394	
47523	0	922	
47599	2	388	
47760	0	927	
47836	2	394	
47997	0	922	
48073	2	388	
48236	0	938	
48312	2	394	
48475	0	933	
48550	2	383	
48714	0	944	
48790	2	388	
48952	0	933	
49028	2	388	
49190	0	933	
49267	2	394	
49430	0	938	
49506	2	394	
49669	0	933	
49745	2	388	
49911	0	955	
49988	2	400	
50155	0	955	
50230	2	383	
50397	0	961	
50472	2	383	
50633	0	927	
50709	2	394	
50866	0	900	
50942	2	388	
51093	0	872	
51171	2	405	
51320	0	855	
51397	2	394	
51549	0	877	
51627	2	405	
51782	0	888	
51859	2	400	
52018	0	911	
52094	2	388	
52257	0	938	
52332	2	383	
52501	0	972	
52576	2	383	
52749	0	994	
52823	2	377	
52996	0	994	
53070	2	377	
53243	0	994	
53317	2	377	
53489	0	988	
53563	2	377	
53731	0	966	
53806	2	383	
53969	0	938	
54045	2	394	
54205	0	916	
54281	2	394	
54440	0	911	
54517	2	400	
54676	0	911	
54753	2	400	
54911	0	905	
54989	2	405	
55144	0	888	
55221	2	400	
55378	0	900	
55455	2	400	
55610	0	888	
55688	2	405	
55846	0	905	
55923	2	400	
56085	0	927	
56162	2	400	
56328	0	950	
56404	2	394	
56575	0	977	
56650	2	388	
56823	0	988	
56899	2	383	
57072	0	1000	
57147	2	388	
57319	0	983	
57394	2	388	
57561	0	955	
57637	2	383	
57796	0	922	
57874	2	405	
58026	0	872	
58103	2	388	
58252	0	866	
58328	2	394	
58409	2	438	
58566	0	911	
58646	2	416	
58809	0	933	
58885	2	383	
59045	0	927	
59119	2	383	
59267	0	850	
59343	2	394	
59469	0	727	
59546	2	388	
59694	0	861	
59770	2	394	
59926	0	894	
60000	2	383	
60164	0	938	
60237	2	377	
60405	0	961	
60477	2	372	
60646	0	966	
60718	2	361	
60886	0	972	
60958	2	372	
61122	0	938	
61237	0	638	
61311	2	383	
61461	0	861	
61534	2	377	
61686	0	872	
61759	2	377	
61908	0	855	
61981	2	366	
62126	0	844	
62199	2	377	
62342	0	822	
62415	2	377	
62555	0	805	
62628	2	366	
62767	0	811	
62840	2	377	
62977	0	788	
63051	2	372	
63188	0	800	
63262	2	372	
63398	0	794	
63471	2	366	
63610	0	811	
63681	2	366	
63821	0	805	
63893	2	361	
64032	0	811	
64104	2	372	
64245	0	811	
64316	2	366	
64457	0	811	
64528	2	366	
64671	0	822	
64742	2	366	
64884	0	816	
64955	2	366	
65097	0	816	
65168	2	366	
65308	0	805	
65380	2	372	
65520	0	805	
65591	2	366	
65729	0	794	
65802	2	366	
65940	0	805	
66012	2	361	
66149	0	800	
66222	2	366	
66360	0	805	
66431	2	366	
66570	0	800	
66643	2	366	
66782	0	811	
66854	2	361	
66994	0	816	
67066	2	361	
67206	0	816	
67278	2	361	
67419	0	822	
67491	2	361	
67631	0	816	
67703	2	361	
67845	0	827	
67916	2	366	
68055	0	800	
68127	2	361	
68265	0	805	
68337	2	361	
68477	0	816	
68549	2	361	
68688	0	811	
68760	2	361	
68900	0	816	
68972	2	361	
69109	0	800	
69182	2	366	
69319	0	800	
69392	2	366	
69528	0	794	
69601	2	366	
69737	0	794	
